exp,spp,tim,iso,tem,rep,ger,of
1,Cf,12,11K11,30,1,50,50
1,Cf,12,11K11,30,2,50,50
1,Cf,12,11K11,30,3,49,50
1,Cf,12,11K11,35,1,21,50
1,Cf,12,11K11,35,2,16,50
1,Cf,12,11K11,35,3,16,50
1,Cf,12,11K17,10,1,1,50
1,Cf,12,11K17,10,2,1,50
1,Cf,12,11K17,10,3,2,50
1,Cf,12,11K17,15,1,46,50
1,Cf,12,11K17,15,2,44,50
1,Cf,12,11K17,15,3,43,50
1,Cf,12,11K17,20,1,44,50
1,Cf,12,11K17,20,2,46,50
1,Cf,12,11K17,20,3,44,50
1,Cf,12,11K17,25,1,49,50
1,Cf,12,11K17,25,2,47,50
1,Cf,12,11K17,25,3,NA,50
1,Cf,12,11K17,30,1,48,50
1,Cf,12,11K17,30,2,50,50
1,Cf,12,11K17,30,3,50,50
1,Cf,12,11K17,35,1,19,50
1,Cf,12,11K17,35,2,15,50
1,Cf,12,11K17,35,3,20,50
1,Cf,12,12D46,10,1,1,50
1,Cf,12,12D46,10,2,0,50
1,Cf,12,12D46,10,3,0,50
1,Cf,12,12D46,15,1,46,50
1,Cf,12,12D46,15,2,45,50
1,Cf,12,12D46,15,3,48,50
1,Cf,12,12D46,20,1,49,50
1,Cf,12,12D46,20,2,50,50
1,Cf,12,12D46,20,3,48,50
1,Cf,12,12D46,25,1,50,50
1,Cf,12,12D46,25,2,50,50
1,Cf,12,12D46,25,3,50,50
1,Cf,12,12D46,30,1,50,50
1,Cf,12,12D46,30,2,50,50
1,Cf,12,12D46,30,3,50,50
1,Cf,12,12D46,35,1,7,50
1,Cf,12,12D46,35,2,13,50
1,Cf,12,12D46,35,3,14,50
1,Cf,12,12J05,10,1,2,50
1,Cf,12,12J05,10,2,1,50
1,Cf,12,12J05,10,3,3,50
1,Cf,12,12J05,15,1,48,50
1,Cf,12,12J05,15,2,47,50
1,Cf,12,12J05,15,3,45,50
1,Cf,12,12J05,20,1,49,50
1,Cf,12,12J05,20,2,49,50
1,Cf,12,12J05,20,3,46,50
1,Cf,12,12J05,25,1,47,50
1,Cf,12,12J05,25,2,48,50
1,Cf,12,12J05,25,3,47,50
1,Cf,12,12J05,30,1,50,50
1,Cf,12,12J05,30,2,50,50
1,Cf,12,12J05,30,3,50,50
1,Cf,12,12J05,35,1,18,50
1,Cf,12,12J05,35,2,14,50
1,Cf,12,12J05,35,3,23,50
1,Cf,12,11J23,10,1,2,50
1,Cf,12,11J23,10,2,5,50
1,Cf,12,11J23,10,3,4,50
1,Cf,12,11J23,15,1,45,50
1,Cf,12,11J23,15,2,43,50
1,Cf,12,11J23,15,3,45,50
1,Cf,12,11J23,20,1,49,50
1,Cf,12,11J23,20,2,49,50
1,Cf,12,11J23,20,3,49,50
1,Cf,12,11J23,25,1,46,50
1,Cf,12,11J23,25,2,49,50
1,Cf,12,11J23,25,3,48,50
1,Cf,12,11J23,30,1,49,50
1,Cf,12,11J23,30,2,49,50
1,Cf,12,11J23,30,3,50,50
1,Cf,12,11J23,35,1,24,50
1,Cf,12,11J23,35,2,14,50
1,Cf,12,11J23,35,3,18,50
1,Cf,12,12J41,10,1,1,50
1,Cf,12,12J41,10,2,2,50
1,Cf,12,12J41,10,3,0,50
1,Cf,12,12J41,15,1,52,60
1,Cf,12,12J41,15,2,51,60
1,Cf,12,12J41,15,3,53,60
1,Cf,12,12J41,20,1,45,50
1,Cf,12,12J41,20,2,47,50
1,Cf,12,12J41,20,3,47,50
1,Cf,12,12J41,25,1,49,50
1,Cf,12,12J41,25,2,47,50
1,Cf,12,12J41,25,3,48,50
1,Cf,12,12J41,30,1,48,50
1,Cf,12,12J41,30,2,47,50
1,Cf,12,12J41,30,3,49,50
1,Cf,12,12J41,35,1,7,50
1,Cf,12,12J41,35,2,8,50
1,Cf,12,12J41,35,3,9,50
1,Ck,12,3G23,10,1,9,50
1,Ck,12,3G23,10,2,7,50
1,Ck,12,3G23,10,3,3,50
1,Ck,12,3G23,15,1,19,50
1,Ck,12,3G23,15,2,30,50
1,Ck,12,3G23,15,3,31,50
1,Ck,12,3G23,20,1,42,50
1,Ck,12,3G23,20,2,42,50
1,Ck,12,3G23,20,3,43,50
1,Ck,12,3G23,25,1,43,50
1,Ck,12,3G23,25,2,48,50
1,Ck,12,3G23,25,3,35,50
1,Ck,12,3G23,30,1,33,50
1,Ck,12,3G23,30,2,31,50
1,Ck,12,3G23,30,3,40,50
1,Ck,12,3G23,35,1,23,50
1,Ck,12,3G23,35,2,23,50
1,Ck,12,3G23,35,3,24,50
2,Cf,6,11K11,10,1,0,50
2,Cf,6,11K11,10,2,0,50
2,Cf,6,11K11,10,3,0,50
2,Cf,6,11K11,15,1,13,50
2,Cf,6,11K11,15,2,14,50
2,Cf,6,11K11,15,3,12,50
2,Cf,6,11K11,20,1,30,50
2,Cf,6,11K11,20,2,27,50
2,Cf,6,11K11,20,3,27,50
2,Cf,6,11K11,25,1,39,50
2,Cf,6,11K11,25,2,38,50
2,Cf,6,11K11,25,3,33,50
2,Cf,6,11K11,30,1,43,50
2,Cf,6,11K11,30,2,43,50
2,Cf,6,11K11,30,3,47,50
2,Cf,6,11K11,35,1,11,50
2,Cf,6,11K11,35,2,7,50
2,Cf,6,11K11,35,3,9,50
2,Cf,6,11K17,10,1,0,50
2,Cf,6,11K17,10,2,0,50
2,Cf,6,11K17,10,3,1,50
2,Cf,6,11K17,15,1,9,50
2,Cf,6,11K17,15,2,8,50
2,Cf,6,11K17,15,3,7,50
2,Cf,6,11K17,20,1,23,50
2,Cf,6,11K17,20,2,22,50
2,Cf,6,11K17,20,3,22,50
2,Cf,6,11K17,25,1,36,50
2,Cf,6,11K17,25,2,35,50
2,Cf,6,11K17,25,3,35,50
2,Cf,6,11K17,30,1,46,50
2,Cf,6,11K17,30,2,45,50
2,Cf,6,11K17,30,3,47,50
2,Cf,6,11K17,35,1,13,50
2,Cf,6,11K17,35,2,8,50
2,Cf,6,11K17,35,3,4,50
2,Cf,6,12D46,10,1,0,50
2,Cf,6,12D46,10,2,0,50
2,Cf,6,12D46,10,3,0,50
2,Cf,6,12D46,15,1,9,50
2,Cf,6,12D46,15,2,14,50
2,Cf,6,12D46,15,3,10,50
2,Cf,6,12D46,20,1,23,50
2,Cf,6,12D46,20,2,23,50
2,Cf,6,12D46,20,3,22,50
2,Cf,6,12D46,25,1,29,50
2,Cf,6,12D46,25,2,36,50
2,Cf,6,12D46,25,3,49,50
2,Cf,6,12D46,30,1,40,50
2,Cf,6,12D46,30,2,45,50
2,Cf,6,12D46,30,3,47,50
2,Cf,6,12D46,35,1,24,50
2,Cf,6,12D46,35,2,19,50
2,Cf,6,12D46,35,3,21,50
2,Cf,6,12J05,10,1,0,50
2,Cf,6,12J05,10,2,0,50
2,Cf,6,12J05,10,3,0,50
2,Cf,6,12J05,15,1,7,50
2,Cf,6,12J05,15,2,9,50
2,Cf,6,12J05,15,3,7,50
2,Cf,6,12J05,20,1,20,50
2,Cf,6,12J05,20,2,20,50
2,Cf,6,12J05,20,3,17,50
2,Cf,6,12J05,25,1,37,50
2,Cf,6,12J05,25,2,46,60
2,Cf,6,12J05,25,3,33,50
2,Cf,6,12J05,30,1,45,50
2,Cf,6,12J05,30,2,47,50
2,Cf,6,12J05,30,3,41,50
2,Cf,6,12J05,35,1,9,50
2,Cf,6,12J05,35,2,15,50
2,Cf,6,12J05,35,3,12,50
2,Cf,6,11J23,10,1,0,50
2,Cf,6,11J23,10,2,0,50
2,Cf,6,11J23,10,3,0,50
2,Cf,6,11J23,15,1,7,50
2,Cf,6,11J23,15,2,5,50
2,Cf,6,11J23,15,3,9,50
2,Cf,6,11J23,20,1,22,50
2,Cf,6,11J23,20,2,21,50
2,Cf,6,11J23,20,3,25,50
2,Cf,6,11J23,25,1,45,50
2,Cf,6,11J23,25,2,43,50
2,Cf,6,11J23,25,3,43,50
2,Cf,6,11J23,30,1,47,50
2,Cf,6,11J23,30,2,46,50
2,Cf,6,11J23,30,3,45,50
2,Cf,6,11J23,35,1,16,50
2,Cf,6,11J23,35,2,17,50
2,Cf,6,11J23,35,3,16,50
2,Cf,6,12J41,10,1,0,50
2,Cf,6,12J41,10,2,0,50
2,Cf,6,12J41,10,3,0,50
2,Cf,6,12J41,15,1,5,50
2,Cf,6,12J41,15,2,4,50
2,Cf,6,12J41,15,3,4,50
2,Cf,6,12J41,20,1,16,50
2,Cf,6,12J41,20,2,15,50
2,Cf,6,12J41,20,3,14,50
2,Cf,6,12J41,25,1,31,50
2,Cf,6,12J41,25,2,34,50
2,Cf,6,12J41,25,3,36,50
2,Cf,6,12J41,30,1,47,50
2,Cf,6,12J41,30,2,46,50
2,Cf,6,12J41,30,3,47,50
2,Cf,6,12J41,35,1,13,50
2,Cf,6,12J41,35,2,10,50
2,Cf,6,12J41,35,3,9,50
2,Ck,6,3G23,10,1,2,50
2,Ck,6,3G23,10,2,1,50
2,Ck,6,3G23,10,3,1,50
2,Ck,6,3G23,15,1,11,50
2,Ck,6,3G23,15,2,10,50
2,Ck,6,3G23,15,3,8,50
2,Ck,6,3G23,20,1,17,50
2,Ck,6,3G23,20,2,17,50
2,Ck,6,3G23,20,3,16,50
2,Ck,6,3G23,25,1,13,50
2,Ck,6,3G23,25,2,15,50
2,Ck,6,3G23,25,3,9,50
2,Ck,6,3G23,30,1,11,50
2,Ck,6,3G23,30,2,12,50
2,Ck,6,3G23,30,3,9,50
2,Ck,6,3G23,35,1,8,50
2,Ck,6,3G23,35,2,10,50
2,Ck,6,3G23,35,3,11,50
2,Cf,12,11K11,10,1,8,50
2,Cf,12,11K11,10,2,8,50
2,Cf,12,11K11,10,3,11,50
2,Cf,12,11K11,15,1,27,50
2,Cf,12,11K11,15,2,37,50
2,Cf,12,11K11,15,3,34,50
2,Cf,12,11K11,20,1,43,50
2,Cf,12,11K11,20,2,47,50
2,Cf,12,11K11,20,3,44,50
2,Cf,12,11K11,25,1,49,50
2,Cf,12,11K11,25,2,50,50
2,Cf,12,11K11,25,3,49,50
2,Cf,12,11K11,30,1,44,50
2,Cf,12,11K11,30,2,50,50
2,Cf,12,11K11,30,3,50,50
2,Cf,12,11K11,35,1,45,50
2,Cf,12,11K11,35,2,42,50
2,Cf,12,11K11,35,3,46,50
2,Cf,12,11K17,10,1,9,50
2,Cf,12,11K17,10,2,13,50
2,Cf,12,11K17,10,3,8,50
2,Cf,12,11K17,15,1,34,50
2,Cf,12,11K17,15,2,35,50
2,Cf,12,11K17,15,3,33,50
2,Cf,12,11K17,20,1,47,50
2,Cf,12,11K17,20,2,49,50
2,Cf,12,11K17,20,3,47,50
2,Cf,12,11K17,25,1,50,50
2,Cf,12,11K17,25,2,50,50
2,Cf,12,11K17,25,3,49,50
2,Cf,12,11K17,30,1,49,50
2,Cf,12,11K17,30,2,48,50
2,Cf,12,11K17,30,3,50,50
2,Cf,12,11K17,35,1,41,60
2,Cf,12,11K17,35,2,46,50
2,Cf,12,11K17,35,3,47,50
2,Cf,12,12D46,10,1,29,50
2,Cf,12,12D46,10,2,24,50
