eva,iso,fun,dos,rep,d1,d2
1,3,fluxapyroxad,0.5,1,1473,1585
1,3,fluxapyroxad,1,1,1606,1589
1,3,fluxapyroxad,1,2,1772,1893
1,3,fluxapyroxad,10,1,1187,1178
1,3,fluxapyroxad,50,1,500,500
1,3,fluxapyroxad,50,2,500,500
1,3,fluxapyroxad,100,1,500,500
1,3,penthiopyrad,0,1,2287,2315
1,3,penthiopyrad,0,2,2561,2344
1,3,penthiopyrad,0.01,1,1751,1751
1,3,penthiopyrad,0.01,2,1909,2052
1,3,penthiopyrad,0.05,1,1857,1851
1,3,penthiopyrad,0.1,1,1752,1614
1,3,penthiopyrad,0.1,2,1847,1825
1,3,penthiopyrad,0.5,1,1707,1688
1,3,penthiopyrad,1,1,1515,1565
1,3,penthiopyrad,1,2,1439,1488
1,3,penthiopyrad,10,1,500,500
1,3,penthiopyrad,50,1,500,500
1,3,penthiopyrad,50,2,500,500
1,3,penthiopyrad,100,1,500,500
1,4,boscalid,0,1,2128,2154
1,4,boscalid,0,2,2438,1961
1,4,boscalid,0.01,1,1846,2212
1,4,boscalid,0.01,2,1805,1802
1,4,boscalid,0.05,1,1413,1519
1,4,boscalid,0.1,1,1148,1155
1,4,boscalid,0.1,2,1142,1239
1,4,boscalid,0.5,1,1352,1335
1,4,boscalid,1,1,1111,1102
1,4,boscalid,1,2,796,856
1,4,boscalid,10,1,676,713
1,4,boscalid,50,1,500,500
1,4,boscalid,50,2,500,500
1,4,boscalid,100,1,500,500
1,4,fluopyram,0,1,2128,2154
1,4,fluopyram,0,2,2438,1961
1,4,fluopyram,0.01,1,1545,1595
1,4,fluopyram,0.01,2,1959,1929
1,4,fluopyram,0.05,1,1979,1949
1,4,fluopyram,0.1,1,1841,1820
1,4,fluopyram,0.1,2,1777,1742
1,4,fluopyram,0.5,1,1703,1688
1,4,fluopyram,1,1,1545,1545
1,4,fluopyram,1,2,1512,1512
1,4,fluopyram,10,1,1444,1479
1,4,fluopyram,50,1,500,500
1,4,fluopyram,50,2,500,500
1,4,fluopyram,100,1,500,500
1,4,fluxapyroxad,0,1,2128,2154
1,4,fluxapyroxad,0,2,2438,1961
1,4,fluxapyroxad,0.01,1,2077,1510
1,4,fluxapyroxad,0.01,2,1897,1950
1,4,fluxapyroxad,0.05,1,1864,1869
1,4,fluxapyroxad,0.1,1,1744,1909
1,4,fluxapyroxad,0.1,2,1795,1790
1,4,fluxapyroxad,0.5,1,1760,1780
1,4,fluxapyroxad,1,1,1648,1624
1,4,fluxapyroxad,1,2,1644,1591
1,4,fluxapyroxad,10,1,1420,1569
1,4,fluxapyroxad,50,1,1429,1428
1,4,fluxapyroxad,50,2,1329,1385
1,4,fluxapyroxad,100,1,1275,1278
1,4,penthiopyrad,0,1,2128,2154
1,4,penthiopyrad,0,2,2438,1961
1,4,penthiopyrad,0.01,1,1871,1999
1,4,penthiopyrad,0.01,2,1660,1616
1,4,penthiopyrad,0.05,1,1910,1845
1,4,penthiopyrad,0.1,1,1685,1648
1,4,penthiopyrad,0.1,2,1810,1770
1,4,penthiopyrad,0.5,1,1672,1592
1,4,penthiopyrad,1,1,1526,1444
1,4,penthiopyrad,1,2,1550,1522
1,4,penthiopyrad,10,1,1231,1170
1,4,penthiopyrad,50,1,1259,1147
1,4,penthiopyrad,50,2,1117,1111
1,4,penthiopyrad,100,1,932,965
1,5,boscalid,0,1,1772,1771
1,5,boscalid,0,2,2636,2479
1,5,boscalid,0.01,1,2416,2432
1,5,boscalid,0.01,2,2150,2068
1,5,boscalid,0.05,1,1971,1975
1,5,boscalid,0.1,1,1274,1276
1,5,boscalid,0.1,2,1352,1354
1,5,boscalid,0.5,1,1280,1277
1,5,boscalid,1,1,500,500
1,5,boscalid,1,2,500,500
1,5,boscalid,10,1,500,500
1,5,boscalid,50,1,500,500
1,5,boscalid,50,2,500,500
1,5,boscalid,100,1,500,500
1,5,fluopyram,0,1,1772,1771
1,5,fluopyram,0,2,2636,2479
1,5,fluopyram,0.01,1,2105,1964
1,5,fluopyram,0.01,2,2052,1667
1,5,fluopyram,0.05,1,1551,1651
1,5,fluopyram,0.1,1,1473,1530
1,5,fluopyram,0.1,2,1292,1399
1,5,fluopyram,0.5,1,1219,1150
1,5,fluopyram,1,1,1037,1081
1,5,fluopyram,1,2,1012,1051
1,5,fluopyram,10,1,500,500
1,5,fluopyram,50,1,500,500
1,5,fluopyram,50,2,500,500
1,5,fluopyram,100,1,500,500
1,5,fluxapyroxad,0,1,1772,1771
1,5,fluxapyroxad,0,2,2636,2479
1,5,fluxapyroxad,0.01,1,1353,1394
1,5,fluxapyroxad,0.01,2,1905,1851
1,5,fluxapyroxad,0.05,1,1346,1420
1,5,fluxapyroxad,0.1,1,1189,1286
1,5,fluxapyroxad,0.1,2,925,1025
1,5,fluxapyroxad,0.5,1,500,500
