exp,spp,iso,rep,tem,day,mm1,mm2
1,Cf,12D46,3,10,2,4.86,5.05
1,Cf,12J05,1,10,2,4.79,4.82
1,Cf,12J05,2,10,2,4.75,4.92
1,Cf,12J05,3,10,2,4.56,4.76
1,Cf,12J41,1,10,2,5.35,5.38
1,Cf,12J41,2,10,2,5.65,5.13
1,Cf,12J41,3,10,2,5.59,5.51
1,Cf,11K11,1,15,2,7.72,8.28
1,Cf,11K11,2,15,2,8.8,8.71
1,Cf,11K11,3,15,2,8.7,12.56
1,Cf,11K17,1,15,2,9.51,9.63
1,Cf,11K17,2,15,2,9.31,8.85
1,Cf,11K17,3,15,2,8.57,8.38
1,Cf,11J23,1,15,2,8.85,9.14
1,Cf,11J23,2,15,2,9.58,9.65
1,Cf,11J23,3,15,2,8.78,8.75
1,Cf,12D46,1,15,2,8.07,7.98
1,Cf,12D46,2,15,2,9.19,9.71
1,Cf,12D46,3,15,2,9.06,8.98
1,Cf,12J05,1,15,2,7.84,7.7
1,Cf,12J05,2,15,2,8.81,8.29
1,Cf,12J05,3,15,2,8.27,8.53
1,Cf,12J41,1,15,2,6.73,7.29
1,Cf,12J41,2,15,2,7.54,6.55
1,Cf,12J41,3,15,2,6.62,7.51
1,Cf,11K11,1,20,2,9.78,10
1,Cf,11K11,2,20,2,10.7,10.5
1,Cf,11K11,3,20,2,9.73,10.39
1,Cf,11K17,1,20,2,11,11.34
1,Cf,11K17,2,20,2,11.35,10.81
1,Cf,11K17,3,20,2,10.72,10.71
1,Cf,11J23,1,20,2,11.43,11.37
1,Cf,11J23,2,20,2,10.66,11.33
1,Cf,11J23,3,20,2,10.94,10.91
1,Cf,12D46,1,20,2,10.77,10.66
1,Cf,12D46,2,20,2,9.97,10.5
1,Cf,12D46,3,20,2,9.77,9.2
1,Cf,12J05,1,20,2,10,9.05
1,Cf,12J05,2,20,2,9.21,8.72
1,Cf,12J05,3,20,2,8.84,9.62
1,Cf,12J41,1,20,2,8.18,7.65
1,Cf,12J41,2,20,2,8.01,7.81
1,Cf,12J41,3,20,2,9.95,8.26
1,Cf,11K11,1,25,2,14.29,14.1
1,Cf,11K11,2,25,2,13.88,14.49
1,Cf,11K11,3,25,2,14.69,14.4
1,Cf,11K17,1,25,2,15.97,15.71
1,Cf,11K17,2,25,2,15.43,15.18
1,Cf,11K17,3,25,2,15.94,15.98
1,Cf,11J23,1,25,2,16.48,15.68
1,Cf,11J23,2,25,2,15.46,15.55
1,Cf,11J23,3,25,2,16.12,16.47
1,Cf,12D46,1,25,2,14.41,14.74
1,Cf,12D46,2,25,2,14.57,14.27
1,Cf,12D46,3,25,2,15.27,14.98
1,Cf,12J05,1,25,2,14.23,14.66
1,Cf,12J05,2,25,2,14.56,14.71
1,Cf,12J05,3,25,2,14.67,14.89
1,Cf,12J41,1,25,2,13.99,13
1,Cf,12J41,2,25,2,14.3,14.95
1,Cf,12J41,3,25,2,14.56,13.86
1,Cf,11K11,1,30,2,11.1,11.85
1,Cf,11K11,2,30,2,11.63,11.77
