exp,spp,kare,len,wid,vol
2,Ck,3G23,14.25,5.62,353.4901254
2,Ck,3G23,11.83,7.53,526.82271
2,Ck,3G23,13.45,5.95,373.9779587
2,Ck,3G23,12.86,6.22,390.7612849
2,Ck,3G23,13.61,6.54,457.197043
2,Ck,3G23,15.15,5.64,378.4954227
2,Ck,3G23,13.99,6.04,400.8495337
2,Ck,3G23,15.15,5.76,394.7729534
2,Ck,3G23,14.66,5.85,394.0356296
2,Ck,3G23,16.22,7.23,665.9126047
2,Ck,3G23,13.38,7.13,534.2259305
2,Ck,3G23,11.31,6.53,378.7727774
2,Ck,3G23,17.04,5.82,453.3204913
2,Ck,3G23,17.4,6.43,565.0163108
2,Ck,3G23,13.57,6.65,471.3168097
2,Ck,3G23,14.37,6.37,457.9577614
2,Ck,3G23,13.42,7.18,543.3644179
