cober;gesso;prof;varie;bloc;tens;umid
Millet;0;0-0.05;Smooth cayenne;4;300;0.0913
Millet;0;0-0.05;Smooth cayenne;1;1500;0.0592
Millet;0;0-0.05;Smooth cayenne;2;1500;0.0722
Millet;0;0-0.05;Smooth cayenne;3;1500;0.0992
Millet;0;0-0.05;Smooth cayenne;4;1500;0.0654
Millet;0;0-0.05;IAC Fantástico;1;0;0.4104
Millet;0;0-0.05;IAC Fantástico;2;0;0.5188
Millet;0;0-0.05;IAC Fantástico;3;0;0.3582
Millet;0;0-0.05;IAC Fantástico;4;0;0.303
Millet;0;0-0.05;IAC Fantástico;1;1;0.4145
Millet;0;0-0.05;IAC Fantástico;2;1;0.3996
Millet;0;0-0.05;IAC Fantástico;3;1;0.3573
Millet;0;0-0.05;IAC Fantástico;4;1;0.2911
Millet;0;0-0.05;IAC Fantástico;1;2;0.3782
Millet;0;0-0.05;IAC Fantástico;2;2;0.3752
Millet;0;0-0.05;IAC Fantástico;3;2;0.3526
Millet;0;0-0.05;IAC Fantástico;4;2;0.2854
Millet;0;0-0.05;IAC Fantástico;1;4;0.3108
Millet;0;0-0.05;IAC Fantástico;2;4;0.2933
Millet;0;0-0.05;IAC Fantástico;3;4;0.3117
Millet;0;0-0.05;IAC Fantástico;4;4;0.2289
Millet;0;0-0.05;IAC Fantástico;1;6;0.2629
Millet;0;0-0.05;IAC Fantástico;2;6;0.2334
Millet;0;0-0.05;IAC Fantástico;3;6;0.2837
Millet;0;0-0.05;IAC Fantástico;4;6;0.1732
Millet;0;0-0.05;IAC Fantástico;1;8;0.2282
Millet;0;0-0.05;IAC Fantástico;2;8;0.2007
Millet;0;0-0.05;IAC Fantástico;3;8;0.26
Millet;0;0-0.05;IAC Fantástico;4;8;0.1511
Millet;0;0-0.05;IAC Fantástico;1;9;0.2004
Millet;0;0-0.05;IAC Fantástico;2;9;0.1893
Millet;0;0-0.05;IAC Fantástico;3;9;0.2083
Millet;0;0-0.05;IAC Fantástico;4;9;0.1414
Millet;0;0-0.05;IAC Fantástico;1;10;0.1524
Millet;0;0-0.05;IAC Fantástico;2;10;0.1776
Millet;0;0-0.05;IAC Fantástico;3;10;0.2034
Millet;0;0-0.05;IAC Fantástico;4;10;0.1379
Millet;0;0-0.05;IAC Fantástico;1;33;0.1186
Millet;0;0-0.05;IAC Fantástico;2;33;0.1238
Millet;0;0-0.05;IAC Fantástico;3;33;0.1452
Millet;0;0-0.05;IAC Fantástico;4;33;0.0981
Millet;0;0-0.05;IAC Fantástico;1;66;0.1073
Millet;0;0-0.05;IAC Fantástico;2;66;0.1146
Millet;0;0-0.05;IAC Fantástico;3;66;0.1303
Millet;0;0-0.05;IAC Fantástico;4;66;0.0832
Millet;0;0-0.05;IAC Fantástico;1;100;0.1059
Millet;0;0-0.05;IAC Fantástico;2;100;0.0977
Millet;0;0-0.05;IAC Fantástico;3;100;0.1395
Millet;0;0-0.05;IAC Fantástico;4;100;0.0957
Millet;0;0-0.05;IAC Fantástico;1;300;0.1033
Millet;0;0-0.05;IAC Fantástico;2;300;0.0815
Millet;0;0-0.05;IAC Fantástico;3;300;0.1807
Millet;0;0-0.05;IAC Fantástico;4;300;0.0708
Millet;0;0-0.05;IAC Fantástico;1;1500;0.1033
Millet;0;0-0.05;IAC Fantástico;2;1500;0.0606
Millet;0;0-0.05;IAC Fantástico;3;1500;0.1257
Millet;0;0-0.05;IAC Fantástico;4;1500;0.0472
Millet;0;0-0.05;Imperial;1;0;0.4188
Millet;0;0-0.05;Imperial;2;0;0.2443
Millet;0;0-0.05;Imperial;3;0;0.3757
Millet;0;0-0.05;Imperial;4;0;0.2956
Millet;0;0-0.05;Imperial;1;1;0.4016
Millet;0;0-0.05;Imperial;2;1;0.263
Millet;0;0-0.05;Imperial;3;1;0.3811
Millet;0;0-0.05;Imperial;4;1;0.2847
Millet;0;0-0.05;Imperial;1;2;0.378
Millet;0;0-0.05;Imperial;2;2;0.2628
Millet;0;0-0.05;Imperial;3;2;0.3792
Millet;0;0-0.05;Imperial;4;2;0.28
Millet;0;0-0.05;Imperial;1;4;0.3179
Millet;0;0-0.05;Imperial;2;4;0.243
Millet;0;0-0.05;Imperial;3;4;0.2902
Millet;0;0-0.05;Imperial;4;4;0.2683
Millet;0;0-0.05;Imperial;1;6;0.2596
Millet;0;0-0.05;Imperial;2;6;0.2075
Millet;0;0-0.05;Imperial;3;6;0.2236
Millet;0;0-0.05;Imperial;4;6;0.234
Millet;0;0-0.05;Imperial;1;8;0.213
Millet;0;0-0.05;Imperial;2;8;0.185
Millet;0;0-0.05;Imperial;3;8;0.1911
Millet;0;0-0.05;Imperial;4;8;0.2114
Millet;0;0-0.05;Imperial;1;9;0.1936
Millet;0;0-0.05;Imperial;2;9;0.1743
Millet;0;0-0.05;Imperial;3;9;0.1829
Millet;0;0-0.05;Imperial;4;9;0.1976
Millet;0;0-0.05;Imperial;1;10;0.1853
Millet;0;0-0.05;Imperial;2;10;0.169
Millet;0;0-0.05;Imperial;3;10;0.1767
Millet;0;0-0.05;Imperial;4;10;0.1887
Millet;0;0-0.05;Imperial;1;33;0.1179
Millet;0;0-0.05;Imperial;2;33;0.122
Millet;0;0-0.05;Imperial;3;33;0.1187
Millet;0;0-0.05;Imperial;4;33;0.1416
Millet;0;0-0.05;Imperial;1;66;0.1153
Millet;0;0-0.05;Imperial;2;66;0.1159
Millet;0;0-0.05;Imperial;3;66;0.1116
Millet;0;0-0.05;Imperial;4;66;0.1335
Millet;0;0-0.05;Imperial;1;100;0.1129
Millet;0;0-0.05;Imperial;2;100;0.1007
Millet;0;0-0.05;Imperial;3;100;0.0959
